Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity,reviews
,Couple Leisure,Premium Economy,Inverness to Los Angeles via London,November 2022,,,,,1,no,,,"Not Verified | I booked Premium Economy from INV to LAX (via LHR). They notified me of a cancelled flight on my return journey and rebooked me on a flight that my connecting flight arrived too late for! Then they cancelled a flight on my journey to LAX! They then cancelled the rebooked flight on the return journey and rebooking me back on the first flight that they had rebooked me on - the flight that I have no chance of making as my return flight arrives too late into LHR. They re-routed me from LAX to JFK to LHR - which I would have accepted - but they booked the journey in Economy (LAX to JFK) which my husband (6'4"" with a knee injury) - cannot do and now they won't change it - even though they have a direct flight from LAX to LHR with Premium Economy and unacceptable flight allows us 54 mins to transfer flights at JFK - and my husband won't be able to walk slowly, let alone quickly, after enduring the 6-hour flight from LAX to LHR. I have chatted only to have my calls disconnected and I also have online chat which proves I did not accept this re-routed flight to JFK but they won't budge."
,Couple Leisure,Economy Class,London City Airport to Frankfurt,July 2023,3.0,3.0,,1.0,1,no,,,"✅ Trip Verified | A simple story with an unfortunate outcome that really could happen to anyone. My partner and I recently started working after studying purchased two tickets to travel from London City Airport to Frankfurt. When we purchased the tickets, I mistakenly entered my name twice (e.g. Mr John Smith and Ms John Smith). Little did we know that our 1 simple mistake would cost us over 300 pounds. Upon arriving at the airport we were told there was no way to change the name (apparently they can only change 3 letters where there has been a typo?) and I had no other option to purchase the last remaining ticket if I wanted to board the flight - the price: almost seven times (!) higher than my original ticket. Zero empathy was shown. Zero alternative was offered. Trusting BA's staff and under the pretence that there was apparently no other way we could board the flight we bought this ticket. Immediately after I purchased the ticket I contacted BA's 'Commercial Change Booking Team' and informed them of our situation. The service representative apologised and told me they could have changed the name at the cost of a small fee. He offered to cancel my original ticket and issue me a partial refund then, advising me that I had a claim to the difference and I should contact Customer Support to do so. I told this person several times I wanted to claim the cost of the new ticket and even asked him explicitly if by accepting this offer, I would be denied from claiming the cost of the new ticket. He said no, I could claim the difference. Fair enough - we accepted this offer and lodged a ticket with Customer Support for the difference. Two days later, British Airways Customer Response informed us that we were unable to lodge a claim because we had 'voluntarily accepted the cancellation before the flight'. They've continued to send generic emails until this week, when they just stopped responding. So in short, British Airways misled and deceived my partner into accepting a lowball offer to waive our right to claim a refund. It keeps me up at night thinking how they can do this and get away with it so easily."
E190,Business,Economy Class,Amsterdam to London City ,July 2023,3.0,4.0,3.0,1.0,2,no,,,"✅ Trip Verified |  Flight was delayed due to the inbound flight arriving late. There was no announcement to inform of the delay nor were the sceens updated. When ready to board we were requested to take our seats quickly to help reduce the delay, which people did. The pilot then announced he had received the documents for the wrong flight from ground staff, so we had to wait while they returned to get the right paperwork. After this was resolved, the pilot announced there would be a delay as there was only two push back tractors and we had to wait again. So after rushing to sit quickly, we sat the the aircraft at the gate for nearly one hour, which is longer than the flight takes ! Of course AMS is not BAs home base and it uses contracted staff here, but it should require a better level of service, It was embarrassing hearing the pilot apologise at every step of the way. It’ll be Eurostar for me next time."
A320,Couple Leisure,Business Class,Dalaman to Gatwick ,June 2023,3.0,5.0,4.0,5.0,3,no,,,"Not Verified |  Fast and friendly check in (total contrast to Gatwick). The contract lounge is comfortable and spacious with a bar and pleasant staff but you have to pay for alcohol after the one free glass of wine. Food best avoided. On board, great crew and dinner was actually good quality and substantial apart from the ""chocolate and orange pot"" that seems to appear on every flight - have they bought up the global stock? The crew were always ready to top up drinks although white wine and beers were lukewarm. The crew explained that the carts are supposed to be chilled - from experience they rarely are. Is dry ice so expensive that BA can't afford it?"
Boeing 787,Solo Leisure,Economy Class,Seattle to London Heathrow,June 2023,2.0,2.0,1.0,3.0,3,no,3.0,,"✅ Trip Verified |  I don't understand why British Airways is classified as a 4 star airline? The service is really mediocre. The food is untasty and insufficient for a long haul trip. Some members of the cabin crew are friendly but they are not attentive enough and create a very basic experience. This really is all about getting from point A to B without what it used to be an enjoyable trip making experience. The inflight entertainment is fairly good, but you do need to bring your own water not to get dehydrated, some snacks and ideally food and perhaps smile to yourself as otherwise you are faced with just a cold, personality less experience. "
A320,Couple Leisure,Economy Class,Gatwick to Dalaman ,June 2023,1.0,1.0,1.0,1.0,1,no,,,"Not Verified |  I'm sure that BA have gradually made their economy experience (BA Euroflyer out of Gatwick) so miserable that passengers are tempted to upgrade to the lacklustre and overpriced business class. Long wait at the biz checkin ( due to status ) and dealt with by a bored agent - OK third party, but still representing BA - who hardly spoke and avoided eye contact and was more focussed on her fingernails. Lounge was crowded and grubby but at least the staff there are pleasant and helpful On board the seats are cramped and uncomfortable and it took over two hours before crew appeared with food sales and the ""free water"" which on Gatwick services consists of a half full plastic cup rather than the luxury of a small bottle.. A fellow passenger mentioned the delay and the fact that they had no sandwiches for sale which prompted the flight attendant to say that the service was much better on Easyjet who do two service runs etc."
,Family Leisure,Business Class,London to Rhodes,July 2023,1.0,1.0,,1.0,1,no,,,"✅ Trip Verified |  Customer Service does not exist. One world emerald, frequent long haul flyer (including BA) - never seen such poor customer service or “computer says no”. Official BA.com site said all morning and afternoon that flight from Gatwick, delayed 2 hours. Delayed leaving for airport -only for BA to change back to original time. Called BA customer service 1.5 hours prior from highway saying situation - told not to worry, would note and flight rebooked if issue but go to airport. Got to airport 40 mins prior told could not board and that staff did not work for BA so could not help. Back on phone, 3 hours in total to be told could be rebooked, then couldn’t be, round and round. Ultimately told to file complaint. Then found out flight left 2 hours delayed. Paid for extra hotels flights with more competent airlines and now told 38 days wait for complaints to be responded to - heavens help economy and non-status flyers if that’s what the front end of the plane gets!"
A320 A350,Family Leisure,Business Class,Newcastle to Las Vegas via Heathrow,June 2023,4.0,5.0,4.0,4.0,4,yes,3.0,,"✅ Trip Verified | Another really great pair of flights, on time, no problems at all, champagne was ok and my meal choices were great, the new club suite is a good improvement over the previous seat, in flight entertainment could have been better, can’t wait to fly with BA again and enjoy another great experience."
A380,Solo Leisure,Business Class,London to Miami,June 2023,1.0,1.0,1.0,1.0,1,no,,,"Not Verified |  Our A380 developed a fault taxiing to the runway - we returned to the gate only to then have the flight cancelled about 3 hours later due to a technical fault. All the while, BA staff were virtually non-existent, it was finally the captain who announced the flight was cancelled. BA provided an alternative the next day involving a connection but it was very much take this or else you were on your own. No arrangements or help made with overnight accommodation or transport,  Finally managed to get the legal minimum £520 compensation out of BA for the 26 hour delay they caused to my journey, and expenses were reimbursed too, but even this took four weeks. The fact that as a Business Class customer BA pays the minimum they can get away with says it all - they couldn't care less about customers, have no interest in loyalty and aren't bothered about your business. Given its our flights that pay BA's way, I'd suggest to anyone they take their hard earned cash to another airline who might at least care less about their customers. Not recommended. "
A320Neo,Solo Leisure,Economy Class,Amman to London,July 2023,3.0,1.0,1.0,4.0,3,no,1.0,3.0,Not Verified | Horrible airline. Does not care about their customers. Used to be decent but has now since really fell off. A flight time of 5 hours and 30 mins but no meal while the flight attendants were having their eggs and sausage in the back? Didn't even offer juices. I would stick with another airline.
Boeing 777,Couple Leisure,Premium Economy,Chennai to London ,July 2023,3.0,2.0,1.0,4.0,1,no,1.0,,"✅ Trip Verified |  My family and I have flown mostly on British Airways for the last 30 years. I am a priority passenger and fly often enough to recognise cabin crew and know some by name. They used to be a really good airline to fly with. Things have really deteriorated with their face to face customer care since the pandemic. The aircraft look worn. For example, on my flight back my audiovisual equipment did not work and had to be reset twice, finally working in the last hour before we landed. The second time around, I think the reset was done for the whole aircraft. The touch screen function on my screen did not work. The USB charger ports on my seat did not work. The staff were pleasant enough, but their service oozed mediocrity.  There did not seem to be much pride in what they were doing. The food has been the worst part on our BA flights since the pandemic. They gave us a menu, asked what we’d like, did a check and then told us that it was not available as they had run out and would we like to choose something else. They then told us that we’d get first choice at the second service which they couldn’t deliver on. Finally after choosing and getting whatever it is that we did, the food was tasteless. We take part in post flight surveys regularly and have stated all of this, to no avail. As a family of 3, we fly British Airways medium to long haul regularly, possibly 4-6 times a year each. For us, the good things about flying BA are that we are priority customers, usually have a direct flight to our destinations and get good service on the ground, when checking in and in the lounges when we use them."
A321neo,Couple Leisure,Economy Class,Istanbul to London,July 2023,2.0,2.0,,1.0,1,no,,,"✅ Trip Verified |  This has been by far the worst service I have had on a plane. It's very obvious that if you are flying economy and not a frequent traveler of British Airways, they care very little about you. We had to wait an hour for them to even open the check-in. Once they did, they had 5 lines and only one that serviced economy. Even though the line for economy was three times the length of the premium classes. Then they told economy passengers that all bags had to be check and no carryon due to a full flight and no room in the overhead compartments. Once we arrived at the gate, there were not enough seats to fit everyone and you couldn't leave the boarding area. I will never fly this airline again! "
,Solo Leisure,Economy Class,London to Edinburgh,November 2022,2.0,5.0,3.0,1.0,2,no,3.0,,"✅ Trip Verified |  In Nov 2022 I booked and paid for a return journey to New Zealand. On my return journey my final flight was from London to Edinburgh. On trying to check in I was told my ticket ‘did not exist’. I showed evidence of my flight being booked and paid for but was denied a ticket. My only option was to buy a ticket for a later flight which cost £265.07. Since Nov 22, ie, 8 months ago, I have communicated multiple times with BA in an attempt to have my money returned. They have admitted responsibility for their error which cost me £265. I finally received word from them that they have decided to refund me the sum of £32.14. I have asked for an explanation but have received none, only a polite e mail informing me that the decision was checked and was correct. I do not intend to let this matter go. A company worth billions of pounds will not return an honest refund. PS, they also lost my luggage and did nothing to help me retrieve it. I tracked it down myself a week later to Edinburgh airport and picked it up myself."
Boeing 777 -200,Family Leisure,Premium Economy,Kingston to London,June 2023,5.0,4.0,4.0,3.0,3,no,3.0,,Not Verified | BA is not treating its premium economy passengers with respect. You pay for a premium economy service and are then compelled to use the economy toilets at the back of the plane. This is short-changing passengers. 
Boeing 777-200,Couple Leisure,Economy Class,London Heathrow to Cape Town,June 2023,1.0,3.0,1.0,3.0,2,no,3.0,,"✅ Trip Verified |  24 hours before our departure on BA059 to Cape Town from Heathrow on Thursday 29th June, we did an online check-in. Seats had already been allocated for my wife and I - 41 E and F - which are the middle two seats of the central block of four. These were totally unsuitable for us as we are in our late 70's and getting in and out of seats to stretch our legs or go the the toilet would mean climbing over a person on the aisle. But there were no other seats available. We got to Heathrow about 6 hours before departure and tried to change seats at check-in, to no avail, although the lady was very sympathetic and tried her utmost. She did offer us an upgrade to Premium Economy but at 450GBP each it was beyond our affordability. She said we should try again at the departure gate but that also failed. We spoke to a member of the flight crew who was totally unsympathetic. The economy seats are so tiny that I was jammed shoulder to shoulder between by wife and a stranger, with knees touching the seat pocket in front. For 12 hours we suffered. When we did manage to get out of our seat due to the kindness of the young lady next to me on the aisle, it was a mission trying to clamber past the reclined backrest in front of me. BA Economy is absolutely awful. The evening meal was near-inedible - both choices were spicy foods which are not very suitable when flying, especially for an older person. The breakfast Spanish Omelette was, however, not bad at all. The previous day we had flown economy from Malta to Heathrow on Malta Airlines and that 3 hour trip was a pleasure. The seats are wide and there is ample legroom. If they can do it, then why not British Airways."
,Couple Leisure,Economy Class,London Heathrow to Ibiza,July 2023,,,,1.0,1,no,,,"✅ Trip Verified |  We arrived at Heathrow at 0600 to find our flight to Ibiza was cancelled by BA with no explanation. As if that wasn’t galling enough, the customer service from BA at the airport was non-existent! There was no explanation, no apology and no assistance in finding an alternative flight. We’ve managed to find another flight from Stansted but that isn’t until much later today, thus wasting a chunk of our short trip. I simply don’t understand why BA don’t proactively contact their customers to notify them of a cancellation, and work with them to resolve the problem. Shocking customer service!"
A380,Business,Business Class,Washington to London,June 2023,3.0,3.0,3.0,1.0,1,no,3.0,,✅ Trip Verified |  Original flight was cancelled with no explanation. There was no representative to help in rebooking We had to call customer service (long distance call) The line kept dropping Had to do 40 + calls to find new booking only to discover the only way I could fly the next day was by paying business class. No help with hotel for the night stay.
A321,Couple Leisure,Economy Class,London Heathrow to Naples,June 2023,1.0,4.0,1.0,2.0,2,no,,,"Not Verified |  Airport check in was functionary with little warmth but some efficiency. Flight was delayed with no communication given. Boarding was chaotic and no management of the process by ground staff. Seats on board are tight and you really feel like they have crammed in every seat possible. There is next to no recline. However I was thankful that there was no recline. If the person in front had even the slightest recline they would be in my face owing to how tight the seats were spaced on this A321 aircraft. No amenities on this flight except for a toilet that was clean but small. No IFE, no food and beverage unless you pay extra but the staff were friendly. Luggage arrived at the carousel within a very short amount of time."
A320,Solo Leisure,Economy Class,Berlin to London,July 2023,5.0,5.0,3.0,4.0,5,yes,,5.0,✅ Trip Verified |  Flight fine. In-line with competitors. Pleasant crew. Only niggle is bussed to and from aircraft at Heathrow. It seems like this is standard for the Berlin flights. Would use again.
,Family Leisure,Economy Class,Glasgow to London,June 2023,1.0,1.0,,1.0,1,no,,,✅ Trip Verified |  Came from Glasgow to London and took connecting flight American Airlines from London to North Carolina. It's my third day here in North Carolina and still waiting for my luggage. They didn't even bother to transfer the luggage to connecting flight. Luggage are still in Glasgow. 
,Solo Leisure,Economy Class,Dubai to Keflavik via London,May 2023,1.0,1.0,,1.0,1,no,,,"✅ Trip Verified |  My flight on on 12 May 2023 got delayed an hour and 25 minutes which resulted in the cancellation of our connection flight on 12 May 2023 as the arrival of the first flight was only 15 before the departure of the second connecting flight. We contacted the BA call center multiple times to make changes to the flight in order to still arrive on the 12th of May to KEF airport through different flights. The team tried to find a solution but none made sense, not even on the next day the 13th of May 2023. We have made full booking of accommodation, car rental, activities etc for the vacation in Iceland. The cancellation of of these booking is not refundable. The call center suggested that we cancel the flight for a full refund, then claim compensation for the delay and difference in airfare cost and other non refundable bookings due to the delay and cancellation of our flight. British Airways responded to the claim after a month with no compensation at all, even though we paid additional $600 on new bookings and additional charges. The refund of the cancelled flight took more than a month with multiple calla to follow up almost every week. I was promised to get refund on the first call but later I found out it was not processed properly. Every-time I call the agent ask questions about why flight was canceled etc which is annoying when my understanding everything was under process for payment. After multiple calls I was refunded partially and not the full amount which is even bizarre from a company of this level. I had to make more calls to get the remaining balance refunded. The whole experience was terrible."
A321Neo,Couple Leisure,Economy Class,Cairo to London,June 2023,1.0,1.0,1.0,2.0,1,no,1.0,1.0,"Not Verified |  Cairo is a 5 hour flight and BA considers it to be short haul, so everyone is crammed in with knees pressed up against the seat in front and nothing in the way of inflight entertainment. Not even a magazine - which is now available by WiFi that you have to pay for. You have to pay for your seat choice, checked in baggage, food & drink, WiFi. Not that I have anything against that - I'm used to that on budget airlines - but this is for a premium price ticket. I would have preferred to fly on easyJet where the initial ticket would have been less, and the extras would have been half the price. The BA app and website makes it really difficult to understand the extras and we ended up with baggage on the wrong ticket so had to pay extra. And don't get me started on their customer service helpline. On board the staff are ok but on the long Cairo-London route they spend most of their time on a break where they use the back row or two and talk loudly without any consideration for the passengers. And for the flyers who don't want the hassle of charges, minimal cabin service, and budget seats, then they could easily provide a 'premium economy' option  and really make a difference for the experience. Heathrow Terminal 5 compounds the poor experience, especially for arrivals. It is also poorly served by transport links - especially for those of us who live near Gatwick which is being abandoned by BA. I have been a frequent flyer for many years - and was even a BA Gold Card holder at one point - so I know about the potential experience. I used be able to make the choice - do I fly budget, or do I fly more comfortably for more? Now it's a case of flying budget, or flying budget for double the price with BA. "
,Solo Leisure,Economy Class,London to Madrid,May 2023,3.0,3.0,3.0,1.0,1,no,,,"✅ Trip Verified |  After travelling London to Madrid with British Airways, then with Iberia from Madrid to Lima and LATAM to Cuzco, my luggage arrived 7 days after me. When attempting to collect my luggage, mine was the only one not to arrive. I sought help and was informed to make a claim online. When my bag finally arrived 7 days later, the lock had been forced open and everything inside the case searched. Someone emptied my 1st aid kit and toiletries and threw my clothing about, I felt violated. I have been treated appallingly from start to finish. For a month, I have been back and forth to British Airways, yet they stated it is not their fault. "
,Family Leisure,Economy Class,London to Cairo,June 2023,1.0,1.0,,1.0,1,no,,,"✅ Trip Verified |  My luggage was mis-tagged in Dallas on my way to Cairo via London. My Luggage arrived at LHR as planned on Saturday 6/24. However, upon arrival due to the luggage being mis-tagged and having the incorrect name on my luggage, it was never sent to Cairo. Its sitting in Terminal 3 in LHR (I have an air tag on my luggage) and British Airways is saying there is nothing they can do about it. I have filed 3 claims, made 13 phone calls, have been hung up on 3x and as simple as it is to solve this problem the workers at BA refuse to solve the problem. "
,Solo Leisure,Economy Class,New Orleans to London,June 2023,3.0,3.0,3.0,1.0,1,no,3.0,1.0,"✅ Trip Verified |  The airline lost my luggage and was absolutely awful throughout the entire trip. They gave me no updates, their website sucks, and it was nearly impossible to get someone on the phone. They finally delivered my luggage to my hotel after i had left to go back to the US, 5 days after I told them to ship it back to the US. Now, I’ve been calling everyday begging them to get my bag back to me. They appease me on the phone, tell me they’re fixing it, but nothing changes. The hotel can’t get in touch with them and they haven’t even tried to pick to bag back up. Several times, when I called I got a message saying they were not answering due to too many complaints and calls and to “call back later”. "
,Couple Leisure,Business Class,London to Amman,March 2023,,,,,1,no,,,"✅ Trip Verified |  We booked on the BA website, round trip flights from Seattle to Amman with a stop in London, in Business Class. Our first flight was delayed and then diverted to NYC, and enroute my husband experienced a medical emergency. When we landed in NYC we were taken to a hospital and I stayed in constant contact with the airline agent who had arranged for the ambulance transfer. The same evening we flew back home, confirming cancellation of all remaining flights with the agent at the airport. For the next several weeks, we spoke many times with BA Customer Service, trying to obtain some kind of refund — we were met with contradictory explanations, excuses and an absence of meaningful customer service. We discovered we had been marked as “no-shows” for our flight to Amman and that our return flight was still active. We were unable to cancel the return on the website, despite booking on the website. Our phone calls were never returned, we spent a minimum of 40-60 minutes on hold for every phone call we made, our emails received only canned replies without answers or explanations, we were told it was “not possible” to receive a copy of the ticketing rules and regulations nor to speak with a supervisor, and after several weeks of this abysmal customer service I filed a complaint with the FAA. In response to my complaint I received an email from BA Customer Service explaining that they had reviewed my many requests for a “full refund” but that could not be accommodated due to the ticketing rules. They would issue flight credits - except for the portion for which we no-showed. They did not state how many credits. We never once asked for a full refund - we asked to read the rules and to receive a partial refund. We will not use the credits - we were fully refunded by our travel insurance."
A321 neo,Solo Leisure,Business Class,Heathrow to Bodrum,June 2023,1.0,1.0,1.0,1.0,1,no,,,"✅ Trip Verified |  First time flying with BA business class, never again. There are no boarding drinks provided. My meal quality was below business class standards as was the quality of the wine. On arrival at Bodrum my bags were among the last to appear. Not looking forward to the same chaos on the return flight. "
,Solo Leisure,Economy Class,Amman to London,June 2023,1.0,3.0,1.0,2.0,2,no,1.0,1.0,"Not Verified | You can buy sandwiches and crisps but don't expect a hot meal. Because the plane is a narrow body , there are no screens. Not helping matters is the fact that the BA prebooking shop for food didn't recognise the flight number, and the onboard  WiFi didn't work. "
Embraer 190,Family Leisure,Business Class,London City to Ibiza,June 2023,3.0,5.0,3.0,3.0,3,yes,,,"✅ Trip Verified |  This is a two-for-one review covering economy and business class on the BA flight from London City to Ibiza. Economy was excellent. A very light lunch (small cheese-and-pastrami sandwich, chocolate brownie) followed by a pretty much free-flowing drinks trolley. The flight was full but the crew worked hard and did a very good job. This is a flight I would recommend. Except, don't fall for the last minute offer for an upgrade to business for £100+ in each direction, as I did. (I flew economy out and business back, while my brother flew business, then economy.) The business seats are identical to economy, with no seats blocked, so you are squished in four abreast. The meals are almost identical, with minor tweaks such as a yoghurt for your £100. The only real plus is Champagne. But on my flight, there was none because of ""supply issues"". The cabin attendant (I think his name was Tom) must be one of the best in the business. I didn't eat, so I paid £100 for nothing. Oh well. So great flight but stick with economy."
,Couple Leisure,Economy Class,London to Washington,June 2023,1.0,1.0,1.0,1.0,1,no,1.0,1.0,"✅ Trip Verified | Absolutely horrible airline. Communication is terrible. Last minute delays, cancellations, seat changes with no communication. App and website user experience is years behind other airlines. Seats are cramped and uncomfortable. Overpriced. Would not fly again."
A350,Business,Business Class,Amsterdam to London,June 2023,3.0,3.0,3.0,2.0,2,no,2.0,1.0,"✅ Trip Verified |  Having experienced delays and cancellations departing from USA to Europe and now a 3.5 hour estimated delay at LHR heading back to USA, I would warn travelers that BA has become unreliable and is now on my “Do Not Fly” list until they get better organized. "
Boeing 737,Couple Leisure,Economy Class,London Heathrow to Kalamata,June 2023,1.0,4.0,3.0,3.0,3,yes,,,"✅ Trip Verified | Travelled to Heathrow to Kalamata and return journey 11 days later. World Traveller (aka Economy) Class. Both flights departed on time. Return flight landed early - BUT - we then had a 1 1/4 hour wait for the baggage to be offloaded which rather ruined the journey home as we then caught a motorway closure. Flights OK - FA's (particularly on return flight) pleasant enough. But, as usual, Economy class seating was truly dreadful - no legroom at all. No better in Club class either - only the middle seat left free. Marked down because of this. Can only recommend if you are not tall."
